Elon Musk ,United States,"Tesla, SpaceX",Automotive 
Jeff Bezos ,United States,Amazon,Technology 
Bernard Arnault & family ,France,LVMH,Fashion & Retail 
Bill Gates ,United States,Microsoft,Technology 
Warren Buffett ,United States,Berkshire Hathaway,Finance & Investments 
Larry Page ,United States,Google,Technology 
Sergey Brin ,United States,Google,Technology 
Larry Ellison ,United States,software,Technology 
Steve Ballmer ,United States,Microsoft,Technology 
Mukesh Ambani ,India,diversified,Diversified 
Gautam Adani & family ,India,"infrastructure, commodities",Diversified 
Michael Bloomberg ,United States,Bloomberg LP,Media & Entertainment 
Carlos Slim Helu & family ,Mexico,telecom,Telecom 
Francoise Bettencourt Meyers & family ,France,L'Oréal,Fashion & Retail 
Mark Zuckerberg ,United States,Facebook,Technology 
Jim Walton ,United States,Walmart,Fashion & Retail 
Zhong Shanshan ,China,"beverages, pharmaceuticals",Food & Beverage 
Alice Walton ,United States,Walmart,Fashion & Retail 
Rob Walton ,United States,Walmart,Fashion & Retail 
Changpeng Zhao ,Canada,cryptocurrency exchange,Finance & Investments 
Charles Koch ,United States,Koch Industries,Diversified 
Julia Koch & family ,United States,Koch Industries,Diversified 
Amancio Ortega ,Spain,Zara,Fashion & Retail 
Michael Dell ,United States,Dell computers,Technology 
Zhang Yiming ,China,TikTok,Media & Entertainment 
David Thomson & family ,Canada,media,Media & Entertainment 
Phil Knight & family ,United States,Nike,Fashion & Retail 
Dieter Schwarz ,Germany,retail,Fashion & Retail 
Robin Zeng ,Hong Kong,batteries,Automotive 
MacKenzie Scott ,United States,Amazon,Technology 
Rodolphe Saadé & family ,France,shipping,Logistics 
François Pinault & family ,France,luxury goods,Fashion & Retail 
Klaus-Michael Kuehne ,Germany,shipping,Logistics 
Ma Huateng ,China,internet media,Technology 
Beate Heister & Karl Albrecht Jr. & family ,Germany,supermarkets,Fashion & Retail 
Giovanni Ferrero ,Italy,"Nutella, chocolates",Food & Beverage 
Li Ka-shing ,Hong Kong,diversified,Diversified 
Stephen Schwarzman ,United States,investments,Finance & Investments 
Lee Shau Kee ,Hong Kong,real estate,Real Estate 
Len Blavatnik ,United States,"music, chemicals",Diversified 
Jacqueline Mars ,United States,"candy, pet food",Food & Beverage 
John Mars ,United States,"candy, pet food",Food & Beverage 
Alain Wertheimer ,France,Chanel,Fashion & Retail 
Gerard Wertheimer ,France,Chanel,Fashion & Retail 
German Larrea Mota Velasco & family ,Mexico,mining,Metals & Mining 
Gina Rinehart ,Australia,mining,Metals & Mining 
Shiv Nadar ,India,software services,Technology 
Jim Simons ,United States,hedge funds,Finance & Investments 
He Xiangjian ,China,home appliances,Manufacturing 
Miriam Adelson ,United States,casinos,Gambling & Casinos 
Dietrich Mateschitz ,Austria,Red Bull,Food & Beverage 
Leonardo Del Vecchio & family ,Italy,eyeglasses,Fashion & Retail 
Ken Griffin ,United States,hedge funds,Finance & Investments 
Tadashi Yanai & family ,Japan,fashion retail,Fashion & Retail 
William Lei Ding ,China,online games,Technology 
Susanne Klatten ,Germany,"BMW, pharmaceuticals",Automotive 
Cyrus Poonawalla ,India,vaccines,Healthcare 
Wang Wei ,China,package delivery,Service 
Qin Yinglin ,China,pig breeding,Food & Beverage 
Sam Bankman-Fried ,United States,cryptocurrency exchange,Finance & Investments 
Takemitsu Takizaki ,Japan,sensors,Manufacturing 
Li Shufu ,China,automobiles,Automotive 
Emmanuel Besnier ,France,cheese,Food & Beverage 
R. Budi Hartono ,Indonesia,"banking, tobacco",Finance & Investments 
Leonard Lauder ,United States,Estee Lauder,Fashion & Retail 
Guillaume Pousaz ,Switzerland,fintech,Finance & Investments 
Iris Fontbona & family ,Chile,mining,Metals & Mining 
Jack Ma ,China,e-commerce,Technology 
Michael Hartono ,Indonesia,"banking, tobacco",Manufacturing 
Eric Schmidt ,United States,Google,Technology 
Ray Dalio ,United States,hedge funds,Finance & Investments 
Daniel Gilbert ,United States,Quicken Loans,Finance & Investments 
"Thomas Frist, Jr. & family ",United States,hospitals,Healthcare 
Masayoshi Son ,Japan,"internet, telecom",Telecom 
Abigail Johnson ,United States,money management,Finance & Investments 
Rupert Murdoch & family ,United States,"newspapers, TV network",Media & Entertainment 
Stefan Quandt ,Germany,BMW,Automotive 
Jensen Huang ,United States,semiconductors,Technology 
Huang Shilin ,China,batteries,Automotive 
Thomas Peterffy ,United States,discount brokerage,Finance & Investments 
Radhakishan Damani ,India,"retail, investments",Fashion & Retail 
Pang Kang ,China,soy sauce,Food & Beverage 
Wang Chuanfu ,China,"batteries, automobiles",Automotive 
Reinhold Wuerth & family ,Germany,fasteners,Manufacturing 
"Theo Albrecht, Jr. & family ",Germany,"Aldi, Trader Joe's",Fashion & Retail 
Yang Huiyan & family ,China,real estate,Real Estate 
Vladimir Lisin ,Russia,"steel, transport",Metals & Mining 
Fan Hongwei & family ,China,petrochemicals,Energy 
Lakshmi Mittal ,India,steel,Metals & Mining 
Andrew Forrest ,Australia,mining,Metals & Mining 
Jiang Rensheng & family ,China,vaccines,Healthcare 
Savitri Jindal & family ,India,steel,Metals & Mining 
Wang Wenyin ,China,"mining, copper products",Metals & Mining 
Li Xiting ,Singapore,medical devices,Healthcare 
Stefan Persson ,Sweden,H&M,Fashion & Retail 
Steve Cohen ,United States,hedge funds,Finance & Investments 
Vladimir Potanin ,Russia,metals,Metals & Mining 
Harold Hamm & family ,United States,oil & gas,Energy 
Sun Piaoyang ,China,pharmaceuticals,Healthcare 
Luo Liguo & family ,China,chemicals,Manufacturing 
Peter Woo ,Hong Kong,real estate,Real Estate 
Gianluigi & Rafaela Aponte ,Switzerland,Shipping,Logistics 
David Tepper ,United States,hedge funds,Finance & Investments 
Renata Kellnerova & family ,Czech Republic,"finance, telecommunications",Finance & Investments 
"John Menard, Jr. ",United States,home improvement stores,Fashion & Retail 
Kumar Birla ,India,commodities,Diversified 
Carl Icahn ,United States,investments,Finance & Investments 
Hank & Doug Meijer ,United States,supermarkets,Fashion & Retail 
Lukas Walton ,United States,Walmart,Fashion & Retail 
Laurene Powell Jobs & family ,United States,"Apple, Disney",Technology 
James Ratcliffe ,United Kingdom,chemicals,Manufacturing 
Donald Bren ,United States,real estate,Real Estate 
Xu Hang ,Hong Kong,medical devices,Healthcare 
Lu Xiangyang ,China,"automobiles, batteries",Automotive 
Dilip Shanghvi ,India,pharmaceuticals,Healthcare 
Wei Jianjun & family ,China,automobiles,Automotive 
Jorge Paulo Lemann & family ,Brazil,beer,Food & Beverage 
Eyal Ofer ,Israel,"real estate, shipping",Diversified 
Mike Cannon-Brookes ,Australia,software,Technology 
Wu Yajun ,China,real estate,Real Estate 
Charlene de Carvalho-Heineken & family ,Netherlands,Heineken,Food & Beverage 
Michael Platt ,United Kingdom,hedge funds,Finance & Investments 
Pavel Durov ,Russia,messaging app,Technology 
Scott Farquhar ,Australia,software,Technology 
Pallonji Mistry ,Ireland,construction,Construction & Engineering 
Dang Yanbao ,China,coal,Metals & Mining 
Robert Pera ,United States,wireless networking gear,Technology 
Donald Newhouse ,United States,media,Media & Entertainment 
Uday Kotak ,India,banking,Finance & Investments 
Aliko Dangote ,Nigeria,"cement, sugar",Manufacturing 
Leonid Mikhelson ,Russia,"gas, chemicals",Energy 
Sunil Mittal & family ,India,telecom,Telecom 
Robert & Philip Ng ,Singapore,real estate,Real Estate 
Liu Hanyuan ,China,agribusiness,Food & Beverage 
Joseph Lau ,Hong Kong,real estate,Real Estate 
Anders Holch Povlsen ,Denmark,fashion retail,Fashion & Retail 
Dhanin Chearavanont ,Thailand,diversified,Diversified 
Gong Hongjia & family ,Hong Kong,video surveillance,Finance & Investments 
Liu Yongxing ,China,diversified,Service 
Alexey Mordashov ,Russia,"steel, investments",Metals & Mining 
Wang Jianlin ,China,real estate,Real Estate 
David Duffield ,United States,business software,Technology 
Li Zhenguo & family ,China,solar wafers and modules,Manufacturing 
Harry Triguboff ,Australia,real estate,Real Estate 
Zhang Zhidong ,China,internet media,Technology 
Chen Bang ,China,hospitals,Healthcare 
John Doerr ,United States,venture capital,Technology 
Hinduja brothers ,United Kingdom,diversified,Diversified 
Kwong Siu-hing ,Hong Kong,real estate,Real Estate 
Pei Zhenhua ,China,batteries,Energy 
Ricardo Salinas Pliego & family ,Mexico,"retail, media",Fashion & Retail 
Jim Pattison ,Canada,diversified,Diversified 
Charles Schwab ,United States,discount brokerage,Finance & Investments 
